text,text2,label
"But before it can dispatch the event to the appropriate child view, the parent can spy and/or intercept the event all together.",dispatchTouchEvent,1
"When using dispatchTouchEvent , you take all touches in your activity, if you want only detect one touch, you have to filter the touch by its type, you can do this using the MotionEvent parameter.",dispatchTouchEvent,1
" onCreate is responsible for creating your tables inside your SQLite database, and onUpgrade will be responsible for upgrading your database if you do make any changes.",onCreate,1
This method will not be called if you’ve changed your code and relaunched in the emulator.,onCreate,1
"After executing in first time deployment, this method will not be called onwards.",onCreate,1
onCreate() is called when you call getWritableDatabase() or getReadableDatabase() on the helper and the database file does not exist.,onCreate,1
"If the file is already there and the version number is the requested one, no callback such as onCreate() is invoked.",onCreate,1
" Each time I say to the Android SDK I want to get a connection to my database, Android will determine whether the database exists or not.",onCreate,1
"If it doesn't exist yet, Android will call the onCreate method.",onCreate,1
" In  particular, the starter code gives us   one function or one method that is already being  overridden.",onCreate,1
"And that's called onCreate, to the   Android system will automatically invoke or call  this function when our application is starting up   when it's creating our screen.",onCreate,1
"However, this method will only be called if the SQLite file is missing in your app’s data directory (/data/data/your.apps.classpath/databases).",onCreate,1
1) onCreate(): This method invoked only once when the application is start at first time .,onCreate,1
So it called only once,onCreate,1
"As already explained in the older answer, if the database with the name doesn't exists, it triggers onCreate.",onCreate,1
If you want onCreate() to run you need to use adb to delete the SQLite database file.,onCreate,1
onCreate() is only run when the database file did not exist and was just created.,onCreate,1
Sqlite database override two methods,onCreate,1
"2)onUpgrade() This method called when we change the database version,then this methods gets invoked.It is used for the alter the table structure like adding new column after creating DB Schema",onCreate,1
Database version is stored within the SQLite database file.,onCreate,1
Another issue is that SQLiteOpenHelper lifecycle methods such as onCreate() are invoked inside an transaction.,onCreate,1
" It's a late  initialization because we're going to initialize   it inside of the onCreate method and not in the  constructor, which is why it's late initialization   is a variable and that we're calling it at base  mount the convention I follow that the name of   the variable is exactly equal to the name of the  ID.",onCreate,1
" After the set content   view, we are going to say at base mount find  view by ID et base amount.",onCreate,1
" And then because SQLiteOpenHelper class is an abstract class, you have to implement to abstract method here.",onCreate,1
Those are onCreate and onUpgrade.,onCreate,1
" And you can implement all the predefined methods, which are already provided by SQLiteOpenHelper class.",onCreate,1
 These methods will be called automatically by the Android SDK.,onCreate,1
 Next we have the onCreate method.,onCreate,1
This is where the SQL we've been talking about and our new contract class are used together.,onCreate,1
" The first time the database is used, SQLiteOpenHelper's onCreate will be called.",onCreate,1
 We need to write the correct SQL statement string so that we can create the table sunshine needs.,onCreate,1
 We then have the system execute this SQL by calling db dot execSQL.,onCreate,1
onCreate() method is creating the tables you’ve defined and executing any other code you’ve written.,onCreate,1
SQLiteOpenHelper should call the super constructor.,onCreate,1
The onUpgrade() method will only be called when the version integer is larger than the current version running in the app.,onCreate,1
"If you want the onUpgrade() method to be called, you need to increment the version number in your code.",onCreate,1
onCreate is called for the first time when creation of tables are needed.,onCreate,1
We need to override this method where we write the script for table creation which is executed by SQLiteDatabase.,onCreate,1
"[SQLiteOpenHelper (hyper-link)] [onCreate() (hyper-link)] and [onUpgrade() (hyper-link)] callbacks are invoked when the database is actually opened, for example by a call to [getWritableDatabase() (hyper-link)].",onCreate,1
The database is not opened when the database helper object itself is created.,onCreate,1
SQLiteOpenHelper versions the database files.,onCreate,1
"As an implication, you should not catch SQLExceptions in onCreate() yourself.",onCreate,1
onUpgrade() is only called when the database file exists but the stored version number is lower than requested in the constructor.,onCreate,1
The onUpgrade() should update the table schema to the requested version.,onCreate,1
"When changing the table schema in code (onCreate()), you should make sure the database is updated.",onCreate,1
Delete the old database file so that onCreate() is run again.,onCreate,1
This is often preferred at development time where you have control over the installed versions and data loss is not an issue.,onCreate,1
Some ways to delete the database file:  Uninstall the application.,onCreate,1
Use the application manager or adb uninstall your.package.name from the shell.,onCreate,1
Clear application data.,onCreate,1
Use the application manager.,onCreate,1
Increment the database version so that onUpgrade() is invoked.,onCreate,1
This is slightly more complicated as more code is needed.,onCreate,1
"For development time schema upgrades where data loss is not an issue, you can just use execSQL(""DROP TABLE IF EXISTS <tablename>"") in to remove your existing tables and call onCreate() to recreate the database.",onCreate,1
"For released versions, you should implement data migration in onUpgrade() so your users don't lose their data.",onCreate,1
(OnCreate() is not executed when the database already exists),onCreate,1
Points to remember when extending SQLiteOpenHelper,onCreate,1
override onCreate and onUpgrade (if needed),onCreate,1
onCreate will be invoked only when getWritableDatabase() or getReadableDatabase() is executed.,onCreate,1
And this will only invoked once when a DBName specified in the first step is not available.,onCreate,1
You can add create table query on onCreate method,onCreate,1
Whenever you want to add new table just change DBversion and do the queries in onUpgrade table or simply uninstall then install the app.,onCreate,1
Max pooling does not dilute the location of the maximum pixel - instead consider it as a way of downsizing.,MaxPool2d,1
Max pooling is just a way to reduce dimensionality of the problem such that your problem fits into device memory.,MaxPool2d,1
A nice side property is that it pools the strongest acitvations from your feature map.,MaxPool2d,1
"If max-pooling is done over a 2x2 region, 3 out of these 8 possible configurations will produce exactly the same output at the convolutional layer.",MaxPool2d,1
"For max-pooling over a 3x3 window, this jumps to 5/8.",MaxPool2d,1
Maximum pooling produces the same depth as it's input.,MaxPool2d,1
With that in mind we can focus on a single slice (along depth) of the input conv.,MaxPool2d,1
"Max pooling does nothing more than iterate over the input image and get the maximum over the current ""subimage"".",MaxPool2d,1
Max pooling decreases the dimension of your data simply by taking only the maximum input from a fixed region of your convolutional layer.,MaxPool2d,1
In the case of bbox prediction it also reduces the number of proposed regions for bboxes.,MaxPool2d,1
Which later in a non-maximum surpression step would kill all redundant proposed bbox locations.,MaxPool2d,1
" And if you are familiar with Max pooling, then you know this is going to cut our image dimensions in half.",MaxPool2d,1
There are 8 directions in which one can translate the input image by a single pixel.,MaxPool2d,1
"They are considering 2 horizontal, 2 vertical and 4 diagonal 1-pixel shifts.",MaxPool2d,1
That gives 8 in total.,MaxPool2d,1
" That means, it tries to make the learning rate inversely proportional to a sane cumulated history.",RMSprop,1
RMsprop keeps the exponentialy decaying average of squared gradients.,RMSprop,1
RMSprop uses a momentum-like exponential decay to the gradient history.,RMSprop,1
Gradients in extreme past have less influence.,RMSprop,1
It modiﬁes AdaGrad optimizer to perform better in the non-convex setting by changing the gradient accumulation into an exponentially weighted moving average.,RMSprop,1
" So, that is the problem with the Adagrad  algorithm and in case of RMSProp instead   of using this cumulative or acumulative sum of  squared gradients the RMSProp takes exponentially   decaying average of the squared gradient.",RMSprop,1
"And, it  does not consider the extreme past histories while   accumulating the sum of square gradient.",RMSprop,1
"And, as  a result of this the algorithm converges rapidly,   once it reaches once your vector reaches  locally convex ball short of surface that .",RMSprop,1
"And,   what you can do is we can assume this point once  it reaches that locally convex error surface,   that as if your Adagrad algorithm is initialized  at that point within that locally convex ball.",RMSprop,1
"However, RMSProp does not keep a moving average of the gradient.",RMSprop,1
"But it can maintain a momentum, like MomentumOptimizer.",RMSprop,1
" So, Adagrad got stuck when it was close to convergence because the learning rate was killed and it was no longer able to move in a direction of b, but for RMSProp, it overcomes this problem by not growing the denominator very aggressively, ok. Now, can you think of any further modifications?",RMSprop,1
" Actually it is taking a moving average of; there is the same as the momentum base role, right?",RMSprop,1
" This is the same as what RMSProp suggested that you divide the learning rate by a cumulated history of gradients, right?",RMSprop,1
" So, in today’s class we will  talk about two more algorithms,   one of them is RMSProp and the other  one is Adam and we will also see a   very closely related algorithm which  is very closely related to RMSProp.",RMSprop,1
" So, the algorithm  that we will talk about is what is RMSProp   which tries to address this problem  of Adagrad algorithm that is vanishing   learning rate as the time increases  as the number of iteration proceeds.",RMSprop,1
"So, what is this RMSProp algorithm does  is instead of taking the accumulative sum   of squares of the gradients of the sum of the  squares of the past and gradients or this past   gradient starts from time t equal to 0.",RMSprop,1
" So in   case of RMSProp, the scaling factor is not  the cumulative sum of gradient histories,   but it is the exponentially decaying  average of the squared gradients.",RMSprop,1
"So, if I go to the updation algorithm is in  RMSProb, the updation algorithm will be like this;   you will find that you will compute the  gradient in the same way as we have done in   case of Adagrad, right.",RMSprop,1
" So, in  case of RMSProp we did not have any concept   of momentum.",RMSprop,1
We are using gradient descent to calculate the gradient and then update the weights by backpropagation.,RMSprop,1
"There are plenty optimizers, like the ones you mention and many more.",RMSprop,1
The optimizers use an adaptive learning rate.,RMSprop,1
With an adaptive loss we have more DoF to increase my learning rate on y directions and decrease along the x direction.,RMSprop,1
They don't stuck on one direction and they are able to traverse more on one direction against the other.,RMSprop,1
Adam with�beta1=1�is equivalent to RMSProp with�momentum=0.,RMSprop,1
The argument�beta2�of Adam and the argument�decay�of RMSProp are the same.,RMSprop,1
A detailed description of rmsprop.,RMSprop,1
maintain a moving (discounted) average of the square of gradients  divide gradient by the root of this average  can maintain a momentum,RMSprop,1
" So, your  basically the operation that was done in Adagrad   algorithm is r t, the scaling factor which is  1 upon square root of epsilon plus r t i.",RMSprop,1
"So,   if you go for component wise this r t i is  nothing, but sum of g t i square of this   or let me put it as g tau square instead of  g t g tau square and you take the summation   of tau is equal to say 1 to t. So, you find  that this being a square term and which you   are going on adding.",RMSprop,1
"So, r t goes on increasing,  it monotonically increases , it does not reduce.",RMSprop,1
" We created our ADADELTA method to overcome the sensitivity to the hyperparameter selection as well as to avoid the continual decay of the learning rates."".",Adadelta,1
"The second good thing about AdaDelta is you don't have to choose the learning rate, it automatically computes it.",Adadelta,1
Adaptive gradient algorithms have learning rates for each parameter.,Adadelta,1
This is very helpful when you have models where some parameters might be more sparse (increase its learning rate) or not sparse (decrease its learning rate).,Adadelta,1
Adadelta is an adaptive learning rate method which uses exponentially decaying average of gradients.,Adadelta,1
"Adadelta optimizer has a way to adaptively change learning rate but still, it needs an initial value of learning rate.",Adadelta,1
"At step 0, the running average of these updates is zero, so the first update will be very small.",Adadelta,1
 If you have gone side-track just remember one thing we are going into so much hassle because normal gradient descent has its learning rate constant for the entire training phase... which is so LAME!,Adadelta,1
So the optimizers like AdaDelta have some techniques to vary the learning rate with every iteration that's it.,Adadelta,1
"As the first update is very small, the running average of the updates will be very small at the beginning, which is kind of a vicious circle at the beginning",Adadelta,1
"Looking at [Keras source code (hyper-link)], learning rate is recalculated based on decay like:",Adadelta,1
I suspect that decay is not intended to be used with Adadelta.,Adadelta,1
It just multiplies the variable updates (see [the update op implementation (hyper-link)]).,Adadelta,1
"For any ""automatic learning rate"" scheme, you can always scale the resulting updates by a constant (whether it's necessary to do so is a separate issue).",Adadelta,1
 To overcome this issue AdaDelta was born.,Adadelta,1
"In the AdaDelta paper by Matthew Zeiler, he talked about this drawback of AdaGrad saying ""due to the continual accumulation of squared gradients in the denominator, the learning rate will continue to decrease throughout training, eventually decreasing to zero and stopping training completely.",Adadelta,1
 This was made possible due to this rho hyperparameter.,Adadelta,1
It is also known as 'Decay Constant'.,Adadelta,1
"Instead of writing it with this equation, I have written it separately because we will need delta theta in this equation.",Adadelta,1
"So, this term over here is the learning rate calculated by AdaDelta.",Adadelta,1
 We are dividing square root of delta x with the square root of alpha... again this epsilon is a very small number to avoid zero division error.,Adadelta,1
Then we can sum it with our theta term... normal gradient descent stuff!,Adadelta,1
"At last, we will update our initialized delta x term by rho multiplied by delta x of the previous iteration plus one minus rho into update square.",Adadelta,1
" So, what AdaDelta does is in case of   RMSProp you are taking the exponentially decaying  average of the squared gradient; AdaDelta instead   of taking the exponentially decaying average of  squared gradient it computes the moving window   average.",Adadelta,1
"So, you can take a more window size of  say W. So, when you compute v t, v t is computed   over a past window size of W. So, if I take the  window size W is equal to say 5, in that case in   order to compute say v 10 it will take the first  5; that means, it will take v 10 v 9 v 8 v 7 and   v 6 or the say s 6 s 7 s 8 s 9 and s 10.",Adadelta,1
"So, you are computing average over past   samples which are within this window size of W.  So, this is what is moving window average.",Adadelta,1
Use an adaptive gradient algorithm like Adam or Adadelta or RMSProp.,Adadelta,1
The rule is related to updates with decay.,Adadelta,1
The full algorithm from the [paper (hyper-link)] is:,Adadelta,1
The issue is that they accumulate the square of the updates.,Adadelta,1
Here is my code to play a bit with the Adadelta optimizer:,Adadelta,1
The thing you need to know about AdaDelta is the general context of online machine learning.,Adadelta,1
"Online machine learning is where you get your data one-at-a-time (and thus have to update your model's parameters as the data comes in), as opposed to batch machine learning where you can generate your machine learning model with access to the entire dataset all at once.",Adadelta,1
" So where onCreate is called when the activity is first created, onPause it's going to be called when you leave the activity.",onPause,1
whenever a new ACTIVITY starts the previous activity's onPause will be defiantly called in any circumstances.,onPause,1
onPause is guaranteed to be called on Activity A (No matter whether Activity B is non-full-sized transparent or full-sized).,onPause,1
onPause() is always called on your Activity if it is in the foreground when Android wants to do something else.,onPause,1
It may start another Activity which may result in your Activity's onStop() getting called.,onPause,1
It may just call onResume() on your activity.,onPause,1
It may just kill your process without calling any more of your lifecycle methods.,onPause,1
"Since onStop() is not guaranteed to be called, you can't always do in onStop() what is done in onPause().",onPause,1
What is the good reason for always having onPause() before onStop().,onPause,1
We can do in onStop() what is done in onPause().,onPause,1
 onPause is called when your activity is about to resume any previous activity.,onPause,1
onPause() is called when your activity is no longer at the top of the activity stack.,onPause,1
"A Dialog by itself is not an Activity, so will not replace the current Activity at the top of the stack, so will not cause anything to pause.",onPause,1
"A dialog (lower-case) does not need to be implemented by a Dialog class, however.",onPause,1
"If you can still see any part of it (Activity coming to foreground either doesn't occupy the whole screen, or it is somewhat transparent), onPause() will be called.",onPause,1
"**I am not referring to an Android Dialog here, rather a conceptual idea of something that pops up and only obscures part of the user screen.",onPause,1
onPause() is always called.,onPause,1
This is guaranteed.,onPause,1
If you need to save any state in your activity you need to save it in onPause().,onPause,1
"onStop() may be called after onPause(), or it may not.",onPause,1
Depends on the situation.,onPause,1
 In onPause it could be possible when it is either about to resume a previous activity or it is partially visible but user is leaving the activity.,onPause,1
"This is typically considered as the best state to commit unsaved changes to persistent data, stop animations and anything that consumes resources.",onPause,1
 So use onPause or onStop to save the data or state.,onPause,1
" And onPause it will be onPause, onResume, onResume.",onPause,1
And start.,onPause,1
" [SOUND] onPause indicates that the activity has lost focus, followed by onStop when the app is no longer visible.",onPause,1
" Alternatively, through the static registration, you can also register and unregister a receiver at one time via the context class, Register receiver method either in onCreate, or in onResume activity methods.",onPause,1
 And unregister receiver methods either in onDestroy or in onPause activity methods.,onPause,1
"Practically, one should consider the difference between “onPause()” and “onPause() + onStop()”.",onPause,1
Whenever some new activity occurs and occupies some partial space of the Screen.,onPause,1
So your previously running activity is still visible to some extent.,onPause,1
"In this Case, the previously running activity is not pushed to Back Stack.",onPause,1
"So, here only onPause() method is called.",onPause,1
onPause()- Screen is partially covered by other new activity.,onPause,1
The Activity is not moved to Back Stack.,onPause,1
onPause() + onStop()- Screen is fully covered by other new activity.,onPause,1
The Activity is moved to Back Stack.,onPause,1
1- a part of previous activity is visible or the new activity is transparent: only onPause will be called.,onPause,1
"NOTE 2: if its an Activity whose theme is set to a dialog, the behavior will be just like a normal activity.",onPause,1
NOTE 3: apparently a system dialog like permission dialog since marshmallow will cause onPause.,onPause,1
"No, if some activity comes into foreground, that doesn't necessarily mean that the other activity is completely invisible.",onPause,1
onStop will only be called when Activity A is completely overridden by full-sized Activity B.,onPause,1
So in onPause you can save an Activity's state or some other useful info if required.,onPause,1
Being in the foreground means that the activity has input focus.,onPause,1
"It is simple: BatchNorm has two ""modes of operation"": one is for training where it estimates the current batch's mean and variance (this is why you must have batch_size>1 for training).",BatchNorm1d,1
"The other ""mode"" is for evaluation: it uses accumulated mean and variance to normalize new inputs without re-estimating the mean and variance.",BatchNorm1d,1
In this mode there is no problem processing samples one by one.,BatchNorm1d,1
" Alright, so batch normalization, or in short, batch norm goes  back to a paper published in 2015, called batch  normalization, accelerating deep network training by reducing  internal covariate shift.",BatchNorm1d,1
Pytorch does its batchnorms over axis=1.,BatchNorm1d,1
But it also has tensors with axis=1 as channels for convolutions.,BatchNorm1d,1
"BatchNorm1d can also handle Rank-2 tensors, thus it is possible to use BatchNorm1d for the normal fully-connected case.",BatchNorm1d,1
" In practice,  people nowadays, it's more common to actually recommend if  you use dropout to recommend having batch norm after the  activation.",BatchNorm1d,1
" Yeah, and also  note that now when we use batch norm, batch norm has learnable  parameters.",BatchNorm1d,1
"So if we use batch norm in a given layer, it has we  have an additional two vectors that have the same dimension as  the bias vector, right.",BatchNorm1d,1
"So if we have, we use batch norm here in  this layer, we will have two, four dimensional vectors, like  this bias vector here would also be four dimensional, right,  because there's one bias for each in layer activation.",BatchNorm1d,1
what does [BatchNorm1d (hyper-link)] do mathematically?,BatchNorm1d,1
" And also, we will talk briefly about how batch norm  behaves during inference, because yeah, you know that  during training, we have mini batches, but that's not  necessarily the case if we want to use our network for  prediction.",BatchNorm1d,1
" But again, this is again, highlighting  train and evil are important here that we during training set  our model into training mode, because that's where batch norm  will compute the running mean and the running variance, I will  talk about this in the next slide.",BatchNorm1d,1
"So here, batch norm will  actually compute some running statistics during training.",BatchNorm1d,1
" So usually, practice people keep a moving average of both the  mean and the variance during training.",BatchNorm1d,1
"So you can think of it  as also as the running mean, how it's computed is by having a  momentum term, it's usually a small value like point one.",BatchNorm1d,1
"And  this is multiplied by the running mean from the previous  on epoch, or sorry, previous mini batch.",BatchNorm1d,1
"And then what you so  you have this, this term, this is like the running mean times  momentum term, this is a point one value.",BatchNorm1d,1
"And then you have one  minus the momentum, this is like a point nine value, then plus  yet plus point nine times the current sample mean.",BatchNorm1d,1
"So that's  the mini batch mean, and you just do the same thing also for  the running variance.",BatchNorm1d,1
"So here, essentially, this is just like a  moving average or running mean.",BatchNorm1d,1
And you do the same thing for  the variance.,BatchNorm1d,1
 That's because there is a  slightly different version of batch norm for convolutional  networks.,BatchNorm1d,1
We will discuss this in the convolutional network  lecture where this would be called batch norm 2d for the  convolution networks.,BatchNorm1d,1
"So to keep them apart, this is called batch  norm 1d.",BatchNorm1d,1
 And how  you can think of it as an additional normalization layer.,BatchNorm1d,1
" So  yeah, here, that's the first step of batch norm, there are  two steps.",BatchNorm1d,1
So the first step is to normalize the net inputs.,BatchNorm1d,1
So the j is the  feature index again.,BatchNorm1d,1
So you can actually use batch norm for any  type of input.,BatchNorm1d,1
So we will also see there is a two dimensional  version for that for convolutional networks later on.,BatchNorm1d,1
" So let's  say we have, yeah, the J feature.",BatchNorm1d,1
"And if I go back, so if  you consider this activation here, what are the features, so  the features are all essentially all the previous layer  activations, right?",BatchNorm1d,1
So all these go into that activation.,BatchNorm1d,1
So all  of these here are the features of this activation here.,BatchNorm1d,1
So J  really is the index over the activations from the previous  layer.,BatchNorm1d,1
" But in the regular batch norm in the 1d version, we were  computing things for each feature.",BatchNorm1d,1
So we were computing  this gamma and beta for each feature over the batch  dimension.,BatchNorm1d,1
" There are places of computing myu and Sigma is running average, again you can do that as well as you know some exponentially varied average schemes are available but this is the way to, during testing you will calculate myu and Sigma for every layer, this myu and Sigma are for the activations of every layer, every neuron and every layer.",BatchNorm1d,1
 Calculated by running it through the entire forward pass dataset.,BatchNorm1d,1
 That will be added computation or or you can just maintain a running average during training.,BatchNorm1d,1
Which one to use depends on the dimensionality of input data.,BatchNorm1d,1
"BatchNorm1d normalises data to 0 mean and unit variance for 2/3-dimensional data (N, C) or (N, C, L), computed over the channel dimension at each (N, L) or (N,) slice; while BatchNorm2d does the same thing for 4 dimensions (N, C, H, W), computed over the channel dimension at each (N, H, W) slice.",BatchNorm1d,1
Core ML does not have 1-dimensional batch norm.,BatchNorm1d,1
"If you want to convert this model, you should fold the batch norm weights into those of the preceding layer and remove the batch norm layer.",BatchNorm1d,1
The getBaseContext() is the method of ContextWrapper.,getBaseContext,1
"And ContextWrapper is, ""Proxying implementation of Context that simply delegates all of its calls to another Context.",getBaseContext,1
"Can be subclassed to modify behavior without changing the original Context.""",getBaseContext,1
(as per javadocs),getBaseContext,1
So this is used to delegate the calls to another context.,getBaseContext,1
The method getBaseContext() is only relevant when you have a ContextWrapper.,getBaseContext,1
The method getBaseContext() can be used to access the “base” Context that the ContextWrapper wraps around.,getBaseContext,1
"You might need to access the “base” context if you need to, for example, check whether it’s a Service, Activity or Application:",getBaseContext,1
getBaseContext() -  If you want to access Context from another context within application you can access.,getBaseContext,1
Or if you need to call the “unwrapped” version of a method:,getBaseContext,1
"The answer by Waqas is very clear and complete, however I'd like to further clarify the difference between using this vs. getBaseContext(), or getApplication() vs. getApplicationContext().",getBaseContext,1
"Both Activity and Application extend not Context itself, but ContextWrapper, which is a",getBaseContext,1
"""Proxying implementation of Context that simply delegates all of its calls to another Context"".",getBaseContext,1
"I doubt it makes any practical difference, though.",getBaseContext,1
The same logic applies to getApplication() vs. getApplicationContext().,getBaseContext,1
getApplicationContext(),getBaseContext,1
this is used for application level and refer to all activities.,getBaseContext,1
 I'm just going to create the table and its structure.,onCreate,2
"To do that, I'll remove the TODO comment, and I'll use the database argument that's being passed in.",onCreate,2
"It's named db, and I'll call a method called execute SQL or execSQL for short, and I'll pass in my constant that contains the SQL command that will create the table, that'll be TABLE_CREATE.",onCreate,2
The version number is the int argument passed to the [constructor (hyper-link)].,onCreate,2
"In the database file, the version number is stored in [PRAGMA user_version (hyper-link)].",onCreate,2
"If onCreate() returns successfully (doesn't throw an exception), the database is assumed to be created with the requested version number.",onCreate,2
"So when the database helper constructor is called with a name (2nd param), platform checks if the database exists or not and if the database exists, it gets the version information from the database file header and triggers the right call back",onCreate,2
catch is the constructor,onCreate,2
" I'll pass in the db argument, and now I've recreated the table structure.",onCreate,2
"super(context, DBName, null, DBversion); - This should be invoked first line of constructor",onCreate,2
"When we create DataBase at a first time (i.e Database is not exists) onCreate() create database with version which is passed in  SQLiteOpenHelper(Context context, String name, SQLiteDatabase.CursorFactory factory, int version)",onCreate,2
" So just to summarize, the hyperparameters for pooling are f, the filter size and s, the stride, and maybe common choices of parameters might be f equals two, s equals two.",MaxPool2d,2
"This is used quite often and this has the effect of roughly shrinking the height and width by a factor of above two, and a common chosen hyperparameters might be f equals two, s equals two, and this has the effect of shrinking the height and width of the representation by a factor of two.",MaxPool2d,2
"I've also seen f equals three, s equals two used, and then the other hyperparameter is just like a binary bit that says, are you using max pooling or are you using average pooling.",MaxPool2d,2
" If you want, you can add an extra hyperparameter for the padding although this is very, very rarely used.",MaxPool2d,2
 So the number of input channels is equal to the number of output channels because pooling applies to each of your channels independently.,MaxPool2d,2
"Adding padding is NOT an ""absolute must"".",MaxPool2d,2
"Sometimes it can be useful to control the size of the output so that it is not reduced by the convolution (it can also augment the output, depending on its size and kernel size).",MaxPool2d,2
" When you do max pooling, usually, you do not use any padding, although there is one exception that we'll see next week as well.",MaxPool2d,2
"But for the most parts of max pooling, usually, it does not use any padding.",MaxPool2d,2
You should try to put your learning rate at 0.001.,RMSprop,2
"The error clearly says, Tanh only takes 1 argument, a tensor.",Tanh,2
"Activation functions accept a single tensor, you are passing two random list elements.",Tanh,2
"So yes, lr is just starting learning rate.",Adadelta,2
"However, note that, by default, decay parameter for Adadelta is zero and is not part of the “standard” arguments, so your learning rate would not be changing its value when using default arguments.",Adadelta,2
learning_rate: A Tensor or a floating point value.,Adadelta,2
"If you really want to use Adadelta, use the parameters from the paper: learning_rate=1., rho=0.95, epsilon=1e-6.",Adadelta,2
"A bigger epsilon will help at the start, but be prepared to wait a bit longer than with other optimizers to see convergence.",Adadelta,2
To match the exact form in the original paper use 1.0.,Adadelta,2
"To print it after every epoch, as @orabis mentioned, you can make a callback class:",Adadelta,2
and then add its instance to the callbacks when calling model.fit() like:,Adadelta,2
"On the other hand, rho parameter, which is nonzero by default, doesn’t describe the decay of the learning rate, but corresponds to the fraction of gradient to keep at each time step (according to the [Keras documentation (hyper-link)]).",Adadelta,2
Although as you can see in tensorflow [source code (hyper-link)] to achieve the exact results of Adadelta paper you should set it to 1.0:,Adadelta,2
"Note that in the paper, they don't even use a learning rate, which is the same as keeping it equal to 1.",Adadelta,2
As per the documentation we need to specify num_features parameter which is the input size of tensor.,BatchNorm1d,2
"Batch normalization works when batch size is greater than 1, so an input of shape (1, 32) won't work.",BatchNorm1d,2
In most cases you should be safe with the default setting.,BatchNorm1d,2
"If you pass torch.Tensor(2,50,70) into nn.Linear(70,20), you get output of shape (2, 50, 20) and when you use BatchNorm1d it calculates running mean for first non-batch dimension, so it would be 50.",BatchNorm1d,2
" So yeah, I here insert batch norm after the  linear layer, notice that there's a one D, it may be  confusing.",BatchNorm1d,2
Why is there a one D?,BatchNorm1d,2
 But on by default bias is true if  you don't set anything and I found it was the same  performance.,BatchNorm1d,2
"For both functions, the d1 parameter is the number of features, and equals dim C of the input tensor.",BatchNorm1d,2
"Try a larger batch size, like 2.",BatchNorm1d,2
"It takes input of shape (N, *, I) and returns (N, *, O), where I stands for input dimension and O for output dim and * are any dimensions between.",BatchNorm1d,2
"PyTorch's CrossEntropyLoss expects unbounded scores (interpretable as logits / log-odds) as input, not probabilities (as the CE is traditionally defined).",cross_entropy,2
So the weights are changed to reduce CE and thus finally leads to reduced difference between the prediction and true labels and thus better accuracy.,cross_entropy,2
" So our loss, if we just care about disease  (we're going to be passed the three things)   we're just going to calculate cross_entropy  on our input versus disease.",cross_entropy,2
" So the way you read this colon means every row,   and then colon 10 means every column up to the  10th.",cross_entropy,2
"[ContextWrapper.getBaseContext() (hyper-link)]:  If you need access to a Context from within another context, you use a ContextWrapper.",getBaseContext,2
"That ""real"" context is what you get by using getBaseContext().",getBaseContext,2
getApplicationContext() - Returns the context for all activities running in application.,getBaseContext,2
getContext() - Returns the context view only current running activity.,getBaseContext,2
[View.getContext() (hyper-link)]:  Returns the context the view is currently running in.,getBaseContext,2
Usually the currently active Activity.,getBaseContext,2
[Activity.getApplicationContext() (hyper-link)]:  Returns the context for the entire application (the process all the Activities are running inside of).,getBaseContext,2
"Use this instead of the current Activity context if you need a context tied to the lifecycle of the entire application, not just the current Activity.",getBaseContext,2
